Date : 2023-03-24 14:29:21
Directory : /home/lorenzo/LabAP
Total : 59 files,  3033 codes, 201 comments, 726 blanks, all 3960 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| frontend/frontend-app/src/Components/Requests/CustomerRequests                                                 |          1 |         45 |          0 |          7 |         52 |
| frontend/frontend-app/src/Components/Requests/WorkerRequests                                                   |          1 |         52 |          1 |          8 |         61 |
| frontend/frontend-app/src/Components/Reviews                                                                   |          1 |        148 |          2 |         21 |        171 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                       | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/lorenzo/LabAP/README.md                                                                                  | Markdown   |          1 |          0 |          0 |          1 |
| /home/lorenzo/LabAP/backend/catalogue_ms/Dockerfile                                                            | Docker     |         11 |          0 |          4 |         15 |
| /home/lorenzo/LabAP/backend/catalogue_ms/catalogue_ms.py                                                       | Python     |         53 |         13 |         17 |         83 |
| /home/lorenzo/LabAP/backend/cust_login_ms/Dockerfile                                                           | Docker     |         11 |          0 |          5 |         16 |
| /home/lorenzo/LabAP/backend/cust_login_ms/cust_login_ms.py                                                     | Python     |        169 |         34 |         47 |        250 |
| /home/lorenzo/LabAP/backend/management_ms/Dockerfile                                                           | Docker     |         11 |          0 |          4 |         15 |
| /home/lorenzo/LabAP/backend/management_ms/management_ms.py                                                     | Python     |        214 |         51 |         89 |        354 |
| /home/lorenzo/LabAP/backend/qea_ms/Dockerfile                                                                  | Docker     |         11 |          0 |          4 |         15 |
| /home/lorenzo/LabAP/backend/qea_ms/qea_ms.py                                                                   | Python     |         94 |         13 |         36 |        143 |
| /home/lorenzo/LabAP/backend/request_ms/Dockerfile                                                              | Docker     |         11 |          0 |          4 |         15 |
| /home/lorenzo/LabAP/backend/request_ms/request_ms.py                                                           | Python     |         70 |          6 |         35 |        111 |
| /home/lorenzo/LabAP/backend/review_ms/Dockerfile                                                               | Docker     |         11 |          0 |          4 |         15 |
| /home/lorenzo/LabAP/backend/review_ms/review_ms.py                                                             | Python     |         96 |         10 |         36 |        142 |
| /home/lorenzo/LabAP/backend/worker_login_ms/Dockerfile                                                         | Docker     |         11 |          0 |          5 |         16 |
| /home/lorenzo/LabAP/backend/worker_login_ms/worker_login_ms.py                                                 | Python     |        175 |         34 |         45 |        254 |
| /home/lorenzo/LabAP/db/user.sql                                                                                | SQL        |         92 |          0 |         14 |        106 |
| /home/lorenzo/LabAP/docker-compose.yaml                                                                        | YAML       |         57 |          0 |         10 |         67 |
| /home/lorenzo/LabAP/frontend/frontend-app/Dockerfile                                                           | Docker     |         10 |          0 |          7 |         17 |
| /home/lorenzo/LabAP/frontend/frontend-app/README.md                                                            | Markdown   |         38 |          0 |         33 |         71 |
| /home/lorenzo/LabAP/frontend/frontend-app/package.json                                                         | JSON       |         46 |          0 |          1 |         47 |
| /home/lorenzo/LabAP/frontend/frontend-app/public/index.html                                                    | HTML       |         20 |         23 |          1 |         44 |
| /home/lorenzo/LabAP/frontend/frontend-app/public/manifest.json                                                 | JSON       |         25 |          0 |          1 |         26 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/App.css                                                          | CSS        |         33 |          0 |          6 |         39 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/App.js                                                           | JavaScript |         70 |          0 |         19 |         89 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/App.test.js                                                      | JavaScript |          7 |          0 |          2 |          9 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/AdminPanel/AdminLogin.js                              | JavaScript |         78 |          0 |          9 |         87 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/AdminPanel/AdminPanel.js                              | JavaScript |         22 |          0 |          6 |         28 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/AdminPanel/CustomersManagement/CustomersList.js       | JavaScript |         26 |          1 |         12 |         39 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/AdminPanel/CustomersManagement/CustomersManagement.js | JavaScript |         34 |          0 |          7 |         41 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/AdminPanel/CustomersManagement/newCustomer.js         | JavaScript |         61 |          0 |         10 |         71 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/AdminPanel/QeAManagement/AdminQeA.js                  | JavaScript |         42 |          0 |         11 |         53 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/AdminPanel/RequestsManagement/AdminNewRequests.js     | JavaScript |         40 |          0 |          7 |         47 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/AdminPanel/RequestsManagement/AdminRequests.js        | JavaScript |         38 |          0 |          8 |         46 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/AdminPanel/ReviewManagement/AdminReview.js            | JavaScript |         46 |          1 |         12 |         59 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/AdminPanel/WorkersManagement/WorkersList.js           | JavaScript |         26 |          0 |          9 |         35 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/AdminPanel/WorkersManagement/WorkersManagement.js     | JavaScript |         38 |          0 |          8 |         46 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/AdminPanel/WorkersManagement/newWorker.js             | JavaScript |         85 |          0 |          9 |         94 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/Catalogue/ExpertDetail.js                             | JavaScript |         75 |          1 |          7 |         83 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/Catalogue/ExpertsList.js                              | JavaScript |         40 |          0 |         10 |         50 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/Home/Home.js                                          | JavaScript |         33 |          0 |          3 |         36 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/Login/LoginCustomer/LoginCustomer.js                  | JavaScript |         82 |          0 |         14 |         96 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/Login/LoginCustomer/RegisterCustomer.js               | JavaScript |         76 |          0 |         11 |         87 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/Login/LoginWorker/LoginWorker.js                      | JavaScript |         66 |          0 |         14 |         80 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/Login/LoginWorker/RegisterWorker.js                   | JavaScript |        104 |          0 |         12 |        116 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/Logout/Logout.js                                      | JavaScript |         12 |          2 |          4 |         18 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/Navbar.js                                             | JavaScript |        103 |          0 |         21 |        124 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/Profile/CustomerProfile/ButtonCustomerProfile.js      | JavaScript |         19 |          0 |          9 |         28 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/Profile/CustomerProfile/CustomerProfile.js            | JavaScript |         30 |          0 |          4 |         34 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/Profile/WorkerProfile/ButtonWorkerProfile.js          | JavaScript |         19 |          0 |          7 |         26 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/Profile/WorkerProfile/WorkerProfile.js                | JavaScript |         39 |          0 |         11 |         50 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/QeA/QeA.js                                            | JavaScript |        167 |          0 |         16 |        183 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/Requests/CustomerRequests/CustomerRequests.js         | JavaScript |         45 |          0 |          7 |         52 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/Requests/WorkerRequests/WorkerRequests.js             | JavaScript |         52 |          1 |          8 |         61 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/Components/Reviews/Reviews.js                                    | JavaScript |        148 |          2 |         21 |        171 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/index.css                                                        | CSS        |         12 |          0 |          2 |         14 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/index.js                                                         | JavaScript |         14 |          5 |          5 |         24 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/logo.svg                                                         | XML        |          1 |          0 |          0 |          1 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/reportWebVitals.js                                               | JavaScript |         12 |          0 |          2 |         14 |
| /home/lorenzo/LabAP/frontend/frontend-app/src/setupTests.js                                                    | JavaScript |          1 |          4 |          1 |          6 |
| Total                                                                                                          |            |      3,033 |        201 |        726 |      3,960 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
